,neighbourhood_cleansed,review_scores_rating,median_price
0,Barking and Dagenham,4.551262626262626,75.0
1,Barnet,4.602639161755075,93.0
2,Bexley,4.609408284023669,65.0
3,Brent,4.580713201820941,90.0
4,Bromley,4.685929054054054,75.0
5,Camden,4.539879518072289,135.0
6,City of London,4.510752427184467,170.0
7,Croydon,4.571560747663551,70.0
8,Ealing,4.607963544940289,85.0
9,Enfield,4.605824742268042,75.0
10,Greenwich,4.5942988019732205,90.0
11,Hackney,4.674173064951234,98.0
12,Hammersmith and Fulham,4.6060607117934405,125.0
13,Haringey,4.641584269662921,80.0
14,Harrow,4.500455764075067,76.0
15,Havering,4.668877192982457,80.0
16,Hillingdon,4.499471228615863,71.0
17,Hounslow,4.525467546754675,99.0
18,Islington,4.594712230215827,109.0
19,Kensington and Chelsea,4.565890313390313,195.0
20,Kingston upon Thames,4.737269303201506,85.0
21,Lambeth,4.654759473259877,98.0
22,Lewisham,4.622688226376957,80.0
23,Merton,4.669180952380953,100.0
24,Newham,4.526056422569027,86.0
25,Redbridge,4.571757877280265,70.0
26,Richmond upon Thames,4.706460732984294,117.0
27,Southwark,4.62759958613554,100.0
28,Sutton,4.665501730103806,70.0
29,Tower Hamlets,4.5271306448615505,95.0
30,Waltham Forest,4.678620414673046,77.0
31,Wandsworth,4.662160289243748,111.0
32,Westminster,4.5410327595780124,199.0
